iteration,total_transactions_amount,transactions_count,gini,min,p10,p25,p50,p75,p90,max,total_wealth,adult_agents,edu_mean,edu_min,edu_p10,edu_p25,edu_p50,edu_p75,edu_p90,edu_max
121,22923.32,708,0.28730,11.02,100.29,156.45,244.18,343.88,433.61,1389.31,260238.85,619,6.05,0.04,2.88,4.46,6.32,8.05,9.24,9.99
122,21664.74,652,0.28582,11.02,105.71,157.56,245.85,339.89,436.73,1389.31,261123.34,619,6.07,0.09,2.89,4.50,6.34,8.06,9.24,9.99
123,22646.22,705,0.28802,11.02,103.89,157.72,244.18,341.68,442.07,1389.31,261298.31,620,6.09,0.00,2.94,4.51,6.36,8.06,9.24,9.99
124,24082.12,739,0.29002,11.02,106.50,156.09,242.98,344.45,444.17,1389.31,261309.31,621,6.10,0.00,2.94,4.53,6.37,8.07,9.25,9.99
125,23271.75,742,0.28902,11.02,100.31,160.78,240.91,346.70,441.86,1389.31,261807.38,622,6.12,0.05,2.96,4.55,6.39,8.08,9.25,9.99
126,23550.10,741,0.28869,11.02,100.20,159.14,244.04,344.09,445.18,1389.31,262253.89,621,6.13,0.00,2.96,4.58,6.39,8.09,9.26,9.99
127,21600.57,701,0.28886,11.02,104.41,157.56,245.80,346.20,445.22,1389.31,262609.63,623,6.13,0.00,2.94,4.60,6.40,8.10,9.26,9.99
128,21484.63,696,0.28799,11.02,104.11,161.10,244.52,349.04,451.54,1389.31,263377.92,624,6.15,0.01,3.00,4.63,6.43,8.11,9.27,9.99
129,20967.65,684,0.28912,11.02,101.14,160.33,244.10,351.64,452.74,1389.31,264143.32,625,6.17,0.10,3.03,4.66,6.45,8.12,9.27,9.99
130,21790.73,673,0.28652,11.02,107.62,160.16,245.23,349.89,445.35,1389.31,264642.74,626,6.19,0.12,3.10,4.68,6.45,8.13,9.27,9.99
131,24031.87,733,0.28767,11.02,106.69,159.14,242.56,348.44,451.54,1389.31,264740.13,626,6.21,0.18,3.10,4.70,6.47,8.14,9.27,9.99
132,23127.22,726,0.29168,11.02,104.41,158.89,243.41,347.21,459.61,1389.31,264741.56,625,6.22,0.00,3.13,4.73,6.49,8.15,9.28,9.99
133,22985.83,712,0.29044,11.02,105.06,158.66,239.99,349.92,453.62,1389.31,264766.30,624,6.24,0.00,3.14,4.75,6.50,8.16,9.28,9.99
134,21593.92,667,0.28858,11.02,107.90,161.04,243.67,351.98,451.53,1389.31,265368.68,623,6.24,0.00,3.17,4.77,6.51,8.16,9.28,9.99
